match_id,player,opponent,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,unforced,serve_gap,match_date,start_time,gender,competition,level,surface,round,player_id,opponent_id,won,winning_reason
20250821-women-US_Open_Women_Singles-qualification_round_2-Sijia_Wei-Leyre_Romero_Gormaz,Sijia Wei,Leyre Romero Gormaz,Total,79.0,2.0,5.0,48.0,32.0,32.0,15.0,8.0,5.0,81.0,44.0,,,1.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:433758,sr:competitor:297588,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Sijia_Wei-Leyre_Romero_Gormaz,Leyre Romero Gormaz,Sijia Wei,Total,81.0,5.0,6.0,59.0,29.0,24.0,8.0,11.0,4.0,79.0,32.0,,,2.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:297588,sr:competitor:433758,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Rei_Sakamoto-Ignacio_Buse,Ignacio Buse,Rei Sakamoto,Total,86.0,3.0,3.0,86.0,53.0,3.0,0.0,8.0,4.0,102.0,45.0,,,3.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:604344,sr:competitor:893391,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Murphy_Cassone-Dino_Prizmic,Murphy Cassone,Dino Prizmic,Total,46.0,2.0,2.0,41.0,24.0,6.0,3.0,5.0,2.0,66.0,21.0,,,1.0,20250821,2025-08-21 17:25:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:652092,sr:competitor:722429,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Murphy_Cassone-Dino_Prizmic,Dino Prizmic,Murphy Cassone,Total,66.0,5.0,6.0,49.0,35.0,20.0,10.0,8.0,8.0,46.0,19.0,,,3.0,20250821,2025-08-21 17:25:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:722429,sr:competitor:652092,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Elena_Pridankina-Ena_Shibahara,Elena Pridankina,Ena Shibahara,Total,82.0,3.0,3.0,58.0,39.0,24.0,12.0,6.0,3.0,84.0,30.0,,,0.0,20250821,2025-08-21 17:50:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:799304,sr:competitor:138452,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Elena_Pridankina-Ena_Shibahara,Ena Shibahara,Elena Pridankina,Total,84.0,3.0,1.0,61.0,44.0,23.0,10.0,8.0,5.0,82.0,31.0,,,0.0,20250821,2025-08-21 17:50:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:138452,sr:competitor:799304,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Varvara_Gracheva-Tara_Wuerth,Varvara Gracheva,Tara Wuerth,Total,62.0,0.0,0.0,57.0,30.0,5.0,2.0,6.0,2.0,62.0,34.0,,,0.0,20250821,2025-08-21 17:50:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:246905,sr:competitor:676251,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Varvara_Gracheva-Tara_Wuerth,Tara Wuerth,Varvara Gracheva,Total,62.0,0.0,0.0,59.0,26.0,3.0,2.0,10.0,3.0,62.0,30.0,,,0.0,20250821,2025-08-21 17:50:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:676251,sr:competitor:246905,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Matteo_Gigante-Coleman_Wong,Matteo Gigante,Coleman Wong,Total,91.0,4.0,7.0,64.0,39.0,28.0,13.0,12.0,7.0,108.0,45.0,,,1.0,20250821,2025-08-21 17:55:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:619900,sr:competitor:449767,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Matteo_Gigante-Coleman_Wong,Coleman Wong,Matteo Gigante,Total,108.0,7.0,2.0,83.0,56.0,25.0,7.0,10.0,6.0,91.0,39.0,,,0.0,20250821,2025-08-21 17:55:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:449767,sr:competitor:619900,True,
20250821-men-ATP_Winston_Salem__USA_Men_Singles-quarterfinal-Sebastian_Korda-Miomir_Kecmanovic,Sebastian Korda,Miomir Kecmanovic,Total,60.0,14.0,1.0,38.0,30.0,22.0,9.0,3.0,2.0,51.0,24.0,,,0.0,20250821,2025-08-21 18:00:00+00:00,men,"ATP Winston Salem, USA Men Singles",atp_250,,quarterfinal,sr:competitor:203681,sr:competitor:130398,True,
20250821-men-ATP_Winston_Salem__USA_Men_Singles-quarterfinal-Sebastian_Korda-Miomir_Kecmanovic,Miomir Kecmanovic,Sebastian Korda,Total,51.0,3.0,4.0,29.0,18.0,22.0,9.0,6.0,2.0,60.0,21.0,,,0.0,20250821,2025-08-21 18:00:00+00:00,men,"ATP Winston Salem, USA Men Singles",atp_250,,quarterfinal,sr:competitor:130398,sr:competitor:203681,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-James_Duckworth-James_McCabe,James Duckworth,James McCabe,Total,119.0,6.0,4.0,72.0,47.0,47.0,27.0,10.0,5.0,103.0,42.0,,,0.0,20250821,2025-08-21 18:05:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:39711,sr:competitor:675175,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-James_Duckworth-James_McCabe,James McCabe,James Duckworth,Total,103.0,8.0,3.0,72.0,50.0,32.0,11.0,5.0,0.0,119.0,45.0,,,1.0,20250821,2025-08-21 18:05:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:675175,sr:competitor:39711,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Mitchell_Krueger-Andrea_Collarini,Mitchell Krueger,Andrea Collarini,Total,72.0,2.0,1.0,53.0,38.0,19.0,10.0,4.0,2.0,79.0,31.0,,,0.0,20250821,2025-08-21 18:05:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:52276,sr:competitor:43761,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Mitchell_Krueger-Andrea_Collarini,Andrea Collarini,Mitchell Krueger,Total,79.0,2.0,3.0,51.0,31.0,29.0,17.0,5.0,2.0,72.0,24.0,,,1.0,20250821,2025-08-21 18:05:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:43761,sr:competitor:52276,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Nikoloz_Basilashvili-Marc_Andrea_Huesler,Nikoloz Basilashvili,Marc-Andrea Huesler,Total,75.0,5.0,4.0,45.0,33.0,30.0,17.0,6.0,4.0,74.0,22.0,,,0.0,20250821,2025-08-21 18:20:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:26204,sr:competitor:145112,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Nikoloz_Basilashvili-Marc_Andrea_Huesler,Marc-Andrea Huesler,Nikoloz Basilashvili,Total,74.0,7.0,2.0,46.0,35.0,28.0,17.0,1.0,0.0,75.0,25.0,,,0.0,20250821,2025-08-21 18:20:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:145112,sr:competitor:26204,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Zsombor_Piros-Thiago_Agustin_Tirante,Thiago Agustin Tirante,Zsombor Piros,Total,65.0,6.0,2.0,47.0,29.0,18.0,11.0,8.0,6.0,79.0,27.0,,,0.0,20250821,2025-08-21 18:20:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:256875,sr:competitor:223714,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Jesper_De_Jong-Harold_Mayot,Jesper De Jong,Harold Mayot,Total,119.0,13.0,3.0,93.0,66.0,26.0,10.0,5.0,1.0,135.0,55.0,,,0.0,20250821,2025-08-21 18:25:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:310974,sr:competitor:321667,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Jesper_De_Jong-Harold_Mayot,Harold Mayot,Jesper De Jong,Total,135.0,5.0,7.0,102.0,66.0,36.0,14.0,20.0,15.0,119.0,43.0,,,3.0,20250821,2025-08-21 18:25:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:321667,sr:competitor:310974,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Petra_Martic-Xiyu_Wang,Xiyu Wang,Petra Martic,Total,79.0,2.0,3.0,79.0,47.0,3.0,0.0,7.0,4.0,86.0,42.0,,,3.0,20250821,2025-08-21 18:35:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:262759,sr:competitor:19704,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Petra_Marcinko-Alina_Charaeva,Petra Marcinko,Alina Charaeva,Total,71.0,3.0,4.0,59.0,38.0,13.0,3.0,7.0,2.0,106.0,47.0,,,1.0,20250821,2025-08-21 18:55:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:790640,sr:competitor:341216,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Petra_Marcinko-Alina_Charaeva,Alina Charaeva,Petra Marcinko,Total,106.0,4.0,5.0,86.0,52.0,22.0,7.0,14.0,10.0,71.0,30.0,,,2.0,20250821,2025-08-21 18:55:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:341216,sr:competitor:790640,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Beibit_Zhukayev-Zachary_Svajda,Beibit Zhukayev,Zachary Svajda,Total,64.0,12.0,4.0,44.0,31.0,20.0,6.0,9.0,6.0,68.0,22.0,,,0.0,20250821,2025-08-21 19:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:286541,sr:competitor:501672,False,
