step,match_date,competition,round,role,opponent,n_predictors,srv_before,total_grad,srv_after,delta
717,20250930,"ATP Tokyo, Japan Men Singles",final,server,Taylor Fritz,5,6.880773544311523,0.002147011226043105,6.755680084228516,-0.1250934600830078
718,20250930,"ATP Tokyo, Japan Men Singles",final,returner,Taylor Fritz,1,6.755680084228516,0.00042333811870776117,6.730996608734131,-0.024683475494384766
1413,20251028,"ATP Paris, France Men Singles",round_of_32,server,Cameron Norrie,5,6.730996608734131,0.002440383657813072,6.489979267120361,-0.24101734161376953
1414,20251028,"ATP Paris, France Men Singles",round_of_32,returner,Cameron Norrie,1,6.489979267120361,0.001917676767334342,6.302233695983887,-0.1877455711364746
1627,20251109,ATP World Tour Finals Men Singles,1,server,Alex de Minaur,5,6.302233695983887,-0.0030638398602604866,6.636353492736816,0.3341197967529297
1628,20251109,ATP World Tour Finals Men Singles,1,returner,Alex de Minaur,1,6.636353492736816,0.00019296121899969876,6.615299701690674,-0.021053791046142578
1635,20251111,ATP World Tour Finals Men Singles,2,server,Taylor Fritz,5,6.615299701690674,-0.0025778557173907757,6.8923540115356445,0.2770543098449707
1636,20251111,ATP World Tour Finals Men Singles,2,returner,Taylor Fritz,1,6.8923540115356445,0.0004920283681713045,6.839477062225342,-0.052876949310302734
1645,20251113,ATP World Tour Finals Men Singles,3,server,Lorenzo Musetti,5,6.839477062225342,-0.00679332111030817,7.491669654846191,0.6521925926208496
1646,20251113,ATP World Tour Finals Men Singles,3,returner,Lorenzo Musetti,1,7.491669654846191,-0.0011158299166709185,7.598557472229004,0.1068878173828125
1653,20251115,ATP World Tour Finals Men Singles,semifinal,server,Felix Auger-Aliassime,5,7.598557472229004,-0.007324909791350365,8.229974746704102,0.6314172744750977
1654,20251115,ATP World Tour Finals Men Singles,semifinal,returner,Felix Auger-Aliassime,1,8.229974746704102,-0.0007650548941455781,8.295893669128418,0.0659189224243164
1655,20251116,ATP World Tour Finals Men Singles,final,server,Jannik Sinner,5,8.295893669128418,0.005579766817390919,7.840196132659912,-0.45569753646850586
1656,20251116,ATP World Tour Finals Men Singles,final,returner,Jannik Sinner,1,7.840196132659912,-0.002016349695622921,8.003877639770508,0.1636815071105957
2262,20260118,Australian Open Men Singles,round_of_128,server,Adam Walton,5,8.003877639770508,0.010551678016781807,7.058053493499756,-0.945824146270752
2263,20260118,Australian Open Men Singles,round_of_128,returner,Adam Walton,1,7.058053493499756,0.0005695337313227355,7.007003307342529,-0.05105018615722656
2369,20260121,Australian Open Men Singles,round_of_64,server,Yannick Hanfmann,5,7.007003307342529,-0.0027675083838403225,7.266171455383301,0.2591681480407715
2370,20260121,Australian Open Men Singles,round_of_64,returner,Yannick Hanfmann,1,7.266171455383301,0.0010323504684492946,7.169641017913818,-0.09653043746948242
2424,20260123,Australian Open Men Singles,round_of_32,server,Corentin Moutet,5,7.169641017913818,2.2767781047150493e-06,7.169421672821045,-0.0002193450927734375
2425,20260123,Australian Open Men Singles,round_of_32,returner,Corentin Moutet,1,7.169421672821045,-0.0002542202128097415,7.193919658660889,0.02449798583984375
2450,20260125,Australian Open Men Singles,round_of_16,server,Tommy Paul,5,7.193919658660889,-0.007193426135927439,7.831169605255127,0.6372499465942383
2451,20260125,Australian Open Men Singles,round_of_16,returner,Tommy Paul,1,7.831169605255127,-0.003375200554728508,8.124642372131348,0.2934727668762207
2466,20260127,Australian Open Men Singles,quarterfinal,server,Alex de Minaur,5,8.124642372131348,-5.619076546281576e-06,8.12513542175293,0.0004930496215820312
2467,20260127,Australian Open Men Singles,quarterfinal,returner,Alex de Minaur,1,8.12513542175293,-0.0005399372312240303,8.17247200012207,0.047336578369140625
2472,20260130,Australian Open Men Singles,semifinal,server,Alexander Zverev,5,8.17247200012207,-0.0019495574524626136,8.342769622802734,0.17029762268066406
2473,20260130,Australian Open Men Singles,semifinal,returner,Alexander Zverev,1,8.342769622802734,-0.0002529412740841508,8.364873886108398,0.022104263305664062
2476,20260201,Australian Open Men Singles,final,returner,Novak Djokovic,1,8.364873886108398,-0.0007293897215276957,8.42866325378418,0.06378936767578125
2927,20260217,"ATP Doha, Qatar Men Singles",round_of_32,server,Arthur Rinderknech,5,8.42866325378418,-0.0017260294407606125,8.61945629119873,0.19079303741455078
2928,20260217,"ATP Doha, Qatar Men Singles",round_of_32,returner,Arthur Rinderknech,1,8.61945629119873,0.0005496670491993427,8.558712005615234,-0.060744285583496094
2981,20260218,"ATP Doha, Qatar Men Singles",round_of_16,server,Valentin Royer,5,8.558712005615234,-0.006106225308030844,9.191425323486328,0.6327133178710938
2982,20260218,"ATP Doha, Qatar Men Singles",round_of_16,returner,Valentin Royer,1,9.191425323486328,0.0017140523996204138,9.01489543914795,-0.1765298843383789
3001,20260219,"ATP Doha, Qatar Men Singles",quarterfinal,server,Karen Khachanov,5,9.01489543914795,-0.0055750333704054356,9.557689666748047,0.5427942276000977
3002,20260219,"ATP Doha, Qatar Men Singles",quarterfinal,returner,Karen Khachanov,1,9.557689666748047,0.0005391029990278184,9.505204200744629,-0.05248546600341797
3019,20260220,"ATP Doha, Qatar Men Singles",semifinal,server,Andrey Rublev,5,9.505204200744629,0.002023756969720125,9.308039665222168,-0.19716453552246094
3020,20260220,"ATP Doha, Qatar Men Singles",semifinal,returner,Andrey Rublev,1,9.308039665222168,0.0026377569884061813,9.054422378540039,-0.2536172866821289
3067,20260221,"ATP Doha, Qatar Men Singles",final,server,Arthur Fils,4,9.054422378540039,-0.007689642254263163,9.734719276428223,0.6802968978881836
3068,20260221,"ATP Doha, Qatar Men Singles",final,returner,Arthur Fils,1,9.734719276428223,-0.0027232717256993055,9.972886085510254,0.23816680908203125
3489,20260308,"ATP Indian Wells, USA Men Singles",round_of_64,server,Grigor Dimitrov,5,9.972886085510254,-0.003951921593397856,10.387541770935059,0.4146556854248047
3490,20260308,"ATP Indian Wells, USA Men Singles",round_of_64,returner,Grigor Dimitrov,1,10.387541770935059,0.0014166487380862236,10.239497184753418,-0.14804458618164062
3531,20260310,"ATP Indian Wells, USA Men Singles",round_of_32,server,Arthur Rinderknech,5,10.239497184753418,0.004662038758397102,9.765482902526855,-0.4740142822265625
3532,20260310,"ATP Indian Wells, USA Men Singles",round_of_32,returner,Arthur Rinderknech,1,9.765482902526855,0.0017125463346019387,9.5923490524292,-0.17313385009765625
3547,20260311,"ATP Indian Wells, USA Men Singles",round_of_16,server,Casper Ruud,4,9.5923490524292,-0.0014534054789692163,9.739760398864746,0.14741134643554688
3548,20260311,"ATP Indian Wells, USA Men Singles",round_of_16,returner,Casper Ruud,1,9.739760398864746,-0.0010279219131916761,9.84383773803711,0.10407733917236328
3557,20260313,"ATP Indian Wells, USA Men Singles",quarterfinal,server,Cameron Norrie,5,9.84383773803711,0.0030532695818692446,9.539246559143066,-0.30459117889404297
3558,20260313,"ATP Indian Wells, USA Men Singles",quarterfinal,returner,Cameron Norrie,1,9.539246559143066,0.0018140766769647598,9.359392166137695,-0.1798543930053711
3561,20260314,"ATP Indian Wells, USA Men Singles",semifinal,server,Daniil Medvedev,5,9.359392166137695,0.00865424145013094,8.60686206817627,-0.7525300979614258
3562,20260314,"ATP Indian Wells, USA Men Singles",semifinal,returner,Daniil Medvedev,1,8.60686206817627,-0.001128421281464398,8.704840660095215,0.09797859191894531
3717,20260321,"ATP Miami, USA Men Singles",round_of_64,server,Joao Fonseca,5,8.704840660095215,-0.00487464340403676,9.14462947845459,0.439788818359375
3718,20260321,"ATP Miami, USA Men Singles",round_of_64,returner,Joao Fonseca,1,9.14462947845459,6.082859181333333e-05,9.139139175415039,-0.005490303039550781
3771,20260322,"ATP Miami, USA Men Singles",round_of_32,server,Sebastian Korda,5,9.139139175415039,0.005659669172018766,8.641525268554688,-0.49761390686035156
3772,20260322,"ATP Miami, USA Men Singles",round_of_32,returner,Sebastian Korda,1,8.641525268554688,0.0004316558479331434,8.603564262390137,-0.03796100616455078
4147,20260407,"ATP Monte Carlo, Monaco Men Singles",round_of_32,server,Sebastian Baez,5,8.603564262390137,0.011384480632841587,7.644406795501709,-0.9591574668884277
4148,20260407,"ATP Monte Carlo, Monaco Men Singles",round_of_32,returner,Sebastian Baez,1,7.644406795501709,-0.0010322030866518617,7.731281757354736,0.08687496185302734
4193,20260409,"ATP Monte Carlo, Monaco Men Singles",round_of_16,server,Tomas Martin Etcheverry,5,7.731281757354736,0.0017451480962336063,7.581689357757568,-0.14959239959716797
4194,20260409,"ATP Monte Carlo, Monaco Men Singles",round_of_16,returner,Tomas Martin Etcheverry,1,7.581689357757568,0.0017843903042376041,7.429378032684326,-0.1523113250732422
4203,20260410,"ATP Monte Carlo, Monaco Men Singles",quarterfinal,server,Alexander Bublik,5,7.429378032684326,-0.002062438055872917,7.605116844177246,0.17573881149291992
4204,20260410,"ATP Monte Carlo, Monaco Men Singles",quarterfinal,returner,Alexander Bublik,1,7.605116844177246,0.0020929407328367233,7.427830696105957,-0.17728614807128906
4241,20260411,"ATP Monte Carlo, Monaco Men Singles",semifinal,server,Valentin Vacherot,5,7.427830696105957,0.008985623717308044,6.732497215270996,-0.6953334808349609
4242,20260411,"ATP Monte Carlo, Monaco Men Singles",semifinal,returner,Valentin Vacherot,1,6.732497215270996,-0.001953140599653125,6.883017063140869,0.15051984786987305
4271,20260412,"ATP Monte Carlo, Monaco Men Singles",final,server,Jannik Sinner,5,6.883017063140869,-0.002568486612290144,7.082268714904785,0.19925165176391602
4272,20260412,"ATP Monte Carlo, Monaco Men Singles",final,returner,Jannik Sinner,1,7.082268714904785,0.0005609758663922548,7.038745403289795,-0.043523311614990234
4327,20260414,"ATP Barcelona, Spain Men Singles",round_of_32,server,Otto Virtanen,5,7.038745403289795,0.0006257412605918944,6.98884916305542,-0.049896240234375
4328,20260414,"ATP Barcelona, Spain Men Singles",round_of_32,returner,Otto Virtanen,1,6.98884916305542,0.0028465762734413147,6.764087677001953,-0.2247614860534668
4367,20260417,"ATP Barcelona, Spain Men Singles",round_of_16,server,Tomas Machac,0,6.764087677001953,0.0,6.764087677001953,0.0
4368,20260417,"ATP Barcelona, Spain Men Singles",round_of_16,returner,Tomas Machac,0,6.764087677001953,0.0,6.764087677001953,0.0
