tournament,year,level,gender,best_of,draw,bracket,byes,seeds,seeds_issued_max,replacements,seeds_seen,seeds_withdrawn,plausible,draw_complete,matches,cancelled
"ATP Dubai, UAE Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,2
"ATP Halle, Germany Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,1
"ATP Hamburg, Germany Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,3
"ATP London, Great Britain Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,7,5,True,True,31,3
"ATP Munich, Germany Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,3
"ATP Rio de Janeiro, Brazil Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,7,6,True,True,31,4
"ATP Rotterdam, Netherlands Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,2
"ATP Tokyo, Japan Men Singles",2025,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,0
"ATP Vienna, Austria Men Singles",2025,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,1
"ATP Washington, USA Men Singles",2026,atp_500,men,3,33,32,-1,,8,,8,,False,True,32,1
Next Gen ATP Finals Men Singles,2025,atp_next_generation,men,5,,,,,7,,7,,False,False,15,0
ATP World Tour Finals Men Singles,2025,atp_world_tour_finals,men,3,,,,,9,,8,4,False,False,15,3
Australian Open Men Singles,2026,grand_slam,men,5,128,128,0,32,32,0,32,,True,True,127,2
Australian Open Women Singles,2026,grand_slam,women,3,128,128,0,32,31,0,31,,True,True,127,1
French Open Men Singles,2026,grand_slam,men,5,128,128,0,32,32,0,31,17,True,True,127,2
French Open Women Singles,2026,grand_slam,women,3,128,128,0,32,32,0,32,,True,True,127,0
"Juniors French Open, Paris, France Men Singles",2026,grand_slam,men,3,64,64,0,16,16,0,16,,True,True,63,0
"Juniors French Open, Paris, France Women Singles",2026,grand_slam,women,3,64,64,0,16,16,0,16,,True,True,63,0
"Juniors US Open, New York, USA Men Singles",2024,grand_slam,men,3,,,,,16,,12,4 6 8 9,False,False,24,0
"Juniors US Open, New York, USA Men Singles",2025,grand_slam,men,3,64,64,0,16,16,0,16,,True,True,63,0
"Juniors US Open, New York, USA Women Singles",2024,grand_slam,women,3,,,,,16,,13,5 6 8,False,False,24,0
"Juniors US Open, New York, USA Women Singles",2025,grand_slam,women,3,64,64,0,16,16,0,16,,True,True,63,0
"Juniors Wimbledon, London, GB Men Singles",2026,grand_slam,men,3,64,64,0,16,16,0,16,,True,True,63,0
"Juniors Wimbledon, London, GB Women Singles",2026,grand_slam,women,3,64,64,0,16,16,0,16,,True,True,63,1
US Open Men Singles,2024,grand_slam,men,5,,,,,31,,9,1 2 3 7 10 11 13 14 15 16 17 18 19 21 22 23 24 25 26 27 29 30,False,False,5,0
US Open Men Singles,2025,grand_slam,men,5,128,128,0,32,32,0,32,,True,True,127,1
US Open Women Singles,2024,grand_slam,women,3,,,,,33,,7,1 4 5 6 7 8 9 10 11 12 14 16 17 18 19 20 21 23 24 25 27 28 29 30 31 32,False,False,4,0
US Open Women Singles,2025,grand_slam,women,3,128,128,0,32,32,0,32,,True,True,127,1
"Wheelchairs French Open, Paris, France Men Singles",2026,grand_slam,men,3,,,,,4,,4,,False,False,22,0
"Wheelchairs Juniors French Open, Paris, France Boys Singles",2026,grand_slam,men,3,4,4,0,,2,,2,,False,True,3,0
"Wheelchairs Juniors French Open, Paris, France Girls Singles",2026,grand_slam,women,3,4,4,0,,2,,2,,False,True,3,0
"Wheelchairs Juniors US Open, New York, USA Men Singles",2025,grand_slam,men,3,8,8,0,,2,,2,,False,True,7,0
